team,season,home_avg,road_avg,overall_avg
Cleveland,2024,67726.0,65874.0,66745.0
Pittsburgh,2024,66880.0,68484.0,67729.0
Cincinnati,2024,66294.0,72934.0,69809.0
Minnesota,2024,66286.0,69616.0,67853.0
Indianapolis,2024,65767.0,70616.0,68334.0
Jacksonville,2024,65764.0,65372.0,65557.0
Miami,2024,65643.0,69833.0,67861.0
Detroit,2024,64922.0,71128.0,67842.0
Tennessee,2024,64819.0,65573.0,65218.0
New England,2024,64634.0,70055.0,67504.0
Arizona,2024,63975.0,70328.0,66965.0
Tampa Bay,2024,63689.0,73369.0,67924.0
Washington,2024,63428.0,71631.0,67288.0
Las Vegas Raiders,2024,62175.0,69489.0,66047.0
Chicago,2024,58649.0,68520.0,63294.0
