season,attendance,type,metric,team,lower,upper
2011,71224.0,historical,home_avg,Baltimore,,
2012,71278.0,historical,home_avg,Baltimore,,
2013,71135.0,historical,home_avg,Baltimore,,
2014,71044.0,historical,home_avg,Baltimore,,
2015,71002.0,historical,home_avg,Baltimore,,
2016,71102.0,historical,home_avg,Baltimore,,
2017,70588.0,historical,home_avg,Baltimore,,
2018,70431.0,historical,home_avg,Baltimore,,
2019,70627.0,historical,home_avg,Baltimore,,
2020,2172.0,historical,home_avg,Baltimore,,
2021,70537.0,historical,home_avg,Baltimore,,
2022,70589.0,historical,home_avg,Baltimore,,
2023,70597.0,historical,home_avg,Baltimore,,
2024,71052.0,historical,home_avg,Baltimore,,
2025,70942.83170835499,forecast,home_avg,Baltimore,70525.98081127516,71359.68260543482
2026,70944.85266585457,forecast,home_avg,Baltimore,70355.3364737169,71534.36885799225
2027,70946.87362335414,forecast,home_avg,Baltimore,70224.86669043123,71668.88055627706
2028,70948.89458085371,forecast,home_avg,Baltimore,70115.19278669407,71782.59637501335
2029,70950.91553835328,forecast,home_avg,Baltimore,70018.80859600102,71883.02248070553
2006,69830.0,historical,road_avg,Baltimore,,
2007,67526.0,historical,road_avg,Baltimore,,
2008,68164.0,historical,road_avg,Baltimore,,
2009,63177.0,historical,road_avg,Baltimore,,
2010,69202.0,historical,road_avg,Baltimore,,
2011,64263.0,historical,road_avg,Baltimore,,
2012,67396.0,historical,road_avg,Baltimore,,
2013,67117.0,historical,road_avg,Baltimore,,
2014,65972.0,historical,road_avg,Baltimore,,
2015,64487.0,historical,road_avg,Baltimore,,
2016,70663.0,historical,road_avg,Baltimore,,
2017,65452.0,historical,road_avg,Baltimore,,
2018,61241.0,historical,road_avg,Baltimore,,
2019,65792.0,historical,road_avg,Baltimore,,
2020,11557.0,historical,road_avg,Baltimore,,
2021,63289.0,historical,road_avg,Baltimore,,
2022,68979.0,historical,road_avg,Baltimore,,
2023,66919.0,historical,road_avg,Baltimore,,
2024,72507.0,historical,road_avg,Baltimore,,
2025,66903.16077780443,forecast,road_avg,Baltimore,60805.41912238881,73000.90243322005
2026,67082.41223777128,forecast,road_avg,Baltimore,58458.90328883514,75705.92118670742
2027,67261.66369773811,forecast,road_avg,Baltimore,56700.06533912911,77823.26205634711
2028,67440.91515770496,forecast,road_avg,Baltimore,55245.43184687373,79636.3984685362
2029,67620.1666176718,forecast,road_avg,Baltimore,53985.20176693038,81255.13146841322
2006,70324.0,historical,overall_avg,Baltimore,,
2007,69460.0,historical,overall_avg,Baltimore,,
2008,69716.0,historical,overall_avg,Baltimore,,
2009,67129.0,historical,overall_avg,Baltimore,,
2010,70214.0,historical,overall_avg,Baltimore,,
2011,67743.0,historical,overall_avg,Baltimore,,
2012,69337.0,historical,overall_avg,Baltimore,,
2013,69126.0,historical,overall_avg,Baltimore,,
2014,68508.0,historical,overall_avg,Baltimore,,
2015,67744.0,historical,overall_avg,Baltimore,,
2016,70883.0,historical,overall_avg,Baltimore,,
2017,68020.0,historical,overall_avg,Baltimore,,
2018,65836.0,historical,overall_avg,Baltimore,,
2019,68210.0,historical,overall_avg,Baltimore,,
2020,7803.0,historical,overall_avg,Baltimore,,
2021,67126.0,historical,overall_avg,Baltimore,,
2022,69736.0,historical,overall_avg,Baltimore,,
2023,68866.0,historical,overall_avg,Baltimore,,
2024,71822.0,historical,overall_avg,Baltimore,,
2025,68761.77418376597,forecast,overall_avg,Baltimore,65640.77755338699,71882.77081414495
2026,68823.9623002788,forecast,overall_avg,Baltimore,64410.2065374761,73237.7180630815
2027,68886.15041679163,forecast,overall_avg,Baltimore,63480.42568272396,74291.8751508593
2028,68948.33853330446,forecast,overall_avg,Baltimore,62706.34527254648,75190.33179406244
2029,69010.52664981729,forecast,overall_avg,Baltimore,62031.76602674208,75989.28727289248
2006,70718.0,historical,home_avg,Green Bay,,
2007,70805.0,historical,home_avg,Green Bay,,
2008,70682.0,historical,home_avg,Green Bay,,
2009,70708.0,historical,home_avg,Green Bay,,
2010,70795.0,historical,home_avg,Green Bay,,
2011,70512.0,historical,home_avg,Green Bay,,
2012,70507.0,historical,home_avg,Green Bay,,
2013,77947.0,historical,home_avg,Green Bay,,
2014,78139.0,historical,home_avg,Green Bay,,
2015,78413.0,historical,home_avg,Green Bay,,
2016,78215.0,historical,home_avg,Green Bay,,
2017,78092.0,historical,home_avg,Green Bay,,
2018,77834.0,historical,home_avg,Green Bay,,
2019,77845.0,historical,home_avg,Green Bay,,
2020,,historical,home_avg,Green Bay,,
2021,77991.0,historical,home_avg,Green Bay,,
2022,76180.0,historical,home_avg,Green Bay,,
2023,77829.0,historical,home_avg,Green Bay,,
2024,78003.0,historical,home_avg,Green Bay,,
2025,78585.18398420142,forecast,home_avg,Green Bay,74892.44258326283,82277.92538514
2026,79148.9682999197,forecast,home_avg,Green Bay,73926.64332837572,84371.29327146367
2027,79712.75261563796,forecast,home_avg,Green Bay,73316.73688999926,86108.76834127666
2028,80276.53693135623,forecast,home_avg,Green Bay,72891.05412947905,87662.0197332334
2029,80840.32124707449,forecast,home_avg,Green Bay,72583.100451248,89097.54204290098
2006,66934.0,historical,road_avg,Green Bay,,
2007,70079.0,historical,road_avg,Green Bay,,
2008,65496.0,historical,road_avg,Green Bay,,
2009,62689.0,historical,road_avg,Green Bay,,
2010,69538.0,historical,road_avg,Green Bay,,
2011,69865.0,historical,road_avg,Green Bay,,
2012,67756.0,historical,road_avg,Green Bay,,
2013,70953.0,historical,road_avg,Green Bay,,
2014,65430.0,historical,road_avg,Green Bay,,
2015,65059.0,historical,road_avg,Green Bay,,
2016,67936.0,historical,road_avg,Green Bay,,
2017,69851.0,historical,road_avg,Green Bay,,
2018,67645.0,historical,road_avg,Green Bay,,
2019,66487.0,historical,road_avg,Green Bay,,
2020,13551.0,historical,road_avg,Green Bay,,
2021,62589.0,historical,road_avg,Green Bay,,
2022,66033.0,historical,road_avg,Green Bay,,
2023,68863.0,historical,road_avg,Green Bay,,
2024,64027.0,historical,road_avg,Green Bay,,
2025,66825.63449710226,forecast,road_avg,Green Bay,62050.98475303799,71600.28424116653
2026,66785.60280811049,forecast,road_avg,Green Bay,60033.228384473565,73537.97723174741
2027,66745.5711191187,forecast,road_avg,Green Bay,58475.63517405364,75015.50706418377
2028,66705.53943012693,forecast,road_avg,Green Bay,57156.23994199838,76254.83891825547
2029,66665.50774113514,forecast,road_avg,Green Bay,55989.066344655446,77341.94913761484
2006,69096.0,historical,overall_avg,Green Bay,,
2007,70466.0,historical,overall_avg,Green Bay,,
2008,68089.0,historical,overall_avg,Green Bay,,
2009,66698.0,historical,overall_avg,Green Bay,,
2010,70166.0,historical,overall_avg,Green Bay,,
2011,70188.0,historical,overall_avg,Green Bay,,
2012,69131.0,historical,overall_avg,Green Bay,,
2013,74450.0,historical,overall_avg,Green Bay,,
2014,71785.0,historical,overall_avg,Green Bay,,
2015,71736.0,historical,overall_avg,Green Bay,,
2016,73075.0,historical,overall_avg,Green Bay,,
2017,73972.0,historical,overall_avg,Green Bay,,
2018,72740.0,historical,overall_avg,Green Bay,,
2019,72166.0,historical,overall_avg,Green Bay,,
2020,0.0,historical,overall_avg,Green Bay,,
2021,69837.0,historical,overall_avg,Green Bay,,
2022,71405.0,historical,overall_avg,Green Bay,,
2023,73082.0,historical,overall_avg,Green Bay,,
2024,71426.0,historical,overall_avg,Green Bay,,
2025,72367.61802412895,forecast,overall_avg,Green Bay,68917.06828745348,75818.16776080443
2026,72572.70935038297,forecast,overall_avg,Green Bay,67692.8951151336,77452.52358563234
2027,72777.80067663698,forecast,overall_avg,Green Bay,66801.27321867165,78754.32813460231
2028,72982.89200289099,forecast,overall_avg,Green Bay,66081.79252954003,79883.99147624195
2029,73187.983329145,forecast,overall_avg,Green Bay,65472.31955819464,80903.64710009538
2006,70432.0,historical,home_avg,Atlanta,,
2007,68395.0,historical,home_avg,Atlanta,,
2008,64065.0,historical,home_avg,Atlanta,,
2009,68173.0,historical,home_avg,Atlanta,,
2010,67850.0,historical,home_avg,Atlanta,,
2011,68986.0,historical,home_avg,Atlanta,,
2012,70096.0,historical,home_avg,Atlanta,,
2013,70224.0,historical,home_avg,Atlanta,,
2014,70502.0,historical,home_avg,Atlanta,,
2015,70355.0,historical,home_avg,Atlanta,,
2016,69999.0,historical,home_avg,Atlanta,,
2017,71960.0,historical,home_avg,Atlanta,,
2018,72898.0,historical,home_avg,Atlanta,,
2019,71601.0,historical,home_avg,Atlanta,,
2020,8800.0,historical,home_avg,Atlanta,,
2021,67586.0,historical,home_avg,Atlanta,,
2022,69583.0,historical,home_avg,Atlanta,,
2023,69603.0,historical,home_avg,Atlanta,,
2024,71381.0,historical,home_avg,Atlanta,,
2025,71345.6303817682,forecast,home_avg,Atlanta,67742.24591336648,74949.01485016993
2026,71551.61020324212,forecast,home_avg,Atlanta,66455.65501758383,76647.5653889004
2027,71757.59002471605,forecast,home_avg,Atlanta,65516.345046239694,77998.8350031924
2028,71963.56984618996,forecast,home_avg,Atlanta,64756.80090938651,79170.3387829934
2029,72169.54966766387,forecast,home_avg,Atlanta,64112.137047250675,80226.96228807706
2006,70343.0,historical,road_avg,Atlanta,,
2007,66520.0,historical,road_avg,Atlanta,,
2008,67168.0,historical,road_avg,Atlanta,,
2009,72658.0,historical,road_avg,Atlanta,,
2010,64173.0,historical,road_avg,Atlanta,,
2011,65191.0,historical,road_avg,Atlanta,,
2012,67703.0,historical,road_avg,Atlanta,,
2013,68577.0,historical,road_avg,Atlanta,,
2014,67997.0,historical,road_avg,Atlanta,,
2015,71478.0,historical,road_avg,Atlanta,,
2016,69549.0,historical,road_avg,Atlanta,,
2017,68422.0,historical,road_avg,Atlanta,,
2018,66994.0,historical,road_avg,Atlanta,,
2019,65831.0,historical,road_avg,Atlanta,,
2020,10179.0,historical,road_avg,Atlanta,,
2021,70357.0,historical,road_avg,Atlanta,,
2022,67679.0,historical,road_avg,Atlanta,,
2023,68843.0,historical,road_avg,Atlanta,,
2024,67869.0,historical,road_avg,Atlanta,,
2025,69276.83008435265,forecast,road_avg,Atlanta,65096.74717299604,73456.91299570927
2026,69360.17262662137,forecast,road_avg,Atlanta,63448.642681536825,75271.7025717059
2027,69443.5151688901,forecast,road_avg,Atlanta,62203.39918657,76683.63115121018
2028,69526.85771115881,forecast,road_avg,Atlanta,61166.69188844557,77887.02353387204
2029,69610.20025342754,forecast,road_avg,Atlanta,60263.25071204892,78957.14979480616
2006,70388.0,historical,overall_avg,Atlanta,,
2007,67520.0,historical,overall_avg,Atlanta,,
2008,65617.0,historical,overall_avg,Atlanta,,
2009,70416.0,historical,overall_avg,Atlanta,,
2010,66011.0,historical,overall_avg,Atlanta,,
2011,67088.0,historical,overall_avg,Atlanta,,
2012,68899.0,historical,overall_avg,Atlanta,,
2013,69455.0,historical,overall_avg,Atlanta,,
2014,69166.0,historical,overall_avg,Atlanta,,
2015,70916.0,historical,overall_avg,Atlanta,,
2016,69774.0,historical,overall_avg,Atlanta,,
2017,70191.0,historical,overall_avg,Atlanta,,
2018,69946.0,historical,overall_avg,Atlanta,,
2019,68716.0,historical,overall_avg,Atlanta,,
2020,9413.0,historical,overall_avg,Atlanta,,
2021,69053.0,historical,overall_avg,Atlanta,,
2022,68687.0,historical,overall_avg,Atlanta,,
2023,69200.0,historical,overall_avg,Atlanta,,
2024,69728.0,historical,overall_avg,Atlanta,,
2025,70100.17901460158,forecast,overall_avg,Atlanta,67321.0684696152,72879.28955958797
2026,70232.47091375811,forecast,overall_avg,Atlanta,66302.21508970429,74162.72673781193
2027,70364.76281291463,forecast,overall_avg,Atlanta,65551.2021491478,75178.32347668147
2028,70497.05471207116,forecast,overall_avg,Atlanta,64938.8336220984,76055.27580204392
2029,70629.34661122768,forecast,overall_avg,Atlanta,64415.06651565165,76843.62670680371
2006,70183.0,historical,home_avg,Houston,,
2007,70519.0,historical,home_avg,Houston,,
2008,70420.0,historical,home_avg,Houston,,
2009,70608.0,historical,home_avg,Houston,,
2010,71080.0,historical,home_avg,Houston,,
2011,71496.0,historical,home_avg,Houston,,
2012,71665.0,historical,home_avg,Houston,,
2013,71658.0,historical,home_avg,Houston,,
2014,71766.0,historical,home_avg,Houston,,
2015,71769.0,historical,home_avg,Houston,,
2016,71868.0,historical,home_avg,Houston,,
2017,71774.0,historical,home_avg,Houston,,
2018,71804.0,historical,home_avg,Houston,,
2019,71793.0,historical,home_avg,Houston,,
2020,12400.0,historical,home_avg,Houston,,
2021,66811.0,historical,home_avg,Houston,,
2022,67911.0,historical,home_avg,Houston,,
2023,71193.0,historical,home_avg,Houston,,
2024,71333.0,historical,home_avg,Houston,,
2025,71340.36398905382,forecast,home_avg,Houston,68518.98573955071,74161.74223855692
2026,71409.10676926129,forecast,home_avg,Houston,67419.07538422954,75399.13815429303
2027,71477.84954946875,forecast,home_avg,Houston,66591.07907395964,76364.62002497786
2028,71546.59232967622,forecast,home_avg,Houston,65903.83583067001,77189.34882868243
2029,71615.33510988369,forecast,home_avg,Houston,65306.541553755385,77924.128666012
2006,70347.0,historical,road_avg,Houston,,
2007,68167.0,historical,road_avg,Houston,,
2008,64031.0,historical,road_avg,Houston,,
2009,60623.0,historical,road_avg,Houston,,
2010,67497.0,historical,road_avg,Houston,,
2011,60966.0,historical,road_avg,Houston,,
2012,68831.0,historical,road_avg,Houston,,
2013,66301.0,historical,road_avg,Houston,,
2014,67731.0,historical,road_avg,Houston,,
2015,65581.0,historical,road_avg,Houston,,
2016,68684.0,historical,road_avg,Houston,,
2017,63281.0,historical,road_avg,Houston,,
2018,67255.0,historical,road_avg,Houston,,
2019,62686.0,historical,road_avg,Houston,,
2020,12466.0,historical,road_avg,Houston,,
2021,64156.0,historical,road_avg,Houston,,
2022,68886.0,historical,road_avg,Houston,,
2023,68024.0,historical,road_avg,Houston,,
2024,70743.0,historical,road_avg,Houston,,
2025,66594.72167820431,forecast,road_avg,Houston,60758.95835007553,72430.48500633308
2026,66597.58672491486,forecast,road_avg,Houston,58344.571079475594,74850.60237035413
2027,66600.4517716254,forecast,road_avg,Houston,56492.613186359114,76708.2903568917
2028,66603.31681833595,forecast,road_avg,Houston,54931.790162078396,78274.84347459351
2029,66606.18186504648,forecast,road_avg,Houston,53557.01836275013,79655.34536734284
2006,70253.0,historical,overall_avg,Houston,,
2007,69511.0,historical,overall_avg,Houston,,
2008,67226.0,historical,overall_avg,Houston,,
2009,65615.0,historical,overall_avg,Houston,,
2010,69289.0,historical,overall_avg,Houston,,
2011,66231.0,historical,overall_avg,Houston,,
2012,70248.0,historical,overall_avg,Houston,,
2013,68980.0,historical,overall_avg,Houston,,
2014,69748.0,historical,overall_avg,Houston,,
2015,68675.0,historical,overall_avg,Houston,,
2016,70382.0,historical,overall_avg,Houston,,
2017,67527.0,historical,overall_avg,Houston,,
2018,69530.0,historical,overall_avg,Houston,,
2019,67239.0,historical,overall_avg,Houston,,
2020,12427.0,historical,overall_avg,Houston,,
2021,65562.0,historical,overall_avg,Houston,,
2022,68427.0,historical,overall_avg,Houston,,
2023,69702.0,historical,overall_avg,Houston,,
2024,71038.0,historical,overall_avg,Houston,,
2025,68887.58881614327,forecast,overall_avg,Houston,65686.74848175311,72088.42915053343
2026,68916.32586616349,forecast,overall_avg,Houston,64389.654054278086,73442.9976780489
2027,68945.0629161837,forecast,overall_avg,Houston,63401.044830104176,74489.08100226322
2028,68973.79996620391,forecast,overall_avg,Houston,62572.11929742358,75375.48063498424
2029,69002.53701622413,forecast,overall_avg,Houston,61845.24044340457,76159.8335890437
2006,69224.0,historical,home_avg,Philadelphia,,
2007,68169.0,historical,home_avg,Philadelphia,,
2008,69144.0,historical,home_avg,Philadelphia,,
2009,69144.0,historical,home_avg,Philadelphia,,
2010,69144.0,historical,home_avg,Philadelphia,,
2011,69144.0,historical,home_avg,Philadelphia,,
2012,69144.0,historical,home_avg,Philadelphia,,
2013,69144.0,historical,home_avg,Philadelphia,,
2014,69596.0,historical,home_avg,Philadelphia,,
2015,69483.0,historical,home_avg,Philadelphia,,
2016,69596.0,historical,home_avg,Philadelphia,,
2017,69596.0,historical,home_avg,Philadelphia,,
2018,69696.0,historical,home_avg,Philadelphia,,
2019,69783.0,historical,home_avg,Philadelphia,,
2020,,historical,home_avg,Philadelphia,,
2021,69796.0,historical,home_avg,Philadelphia,,
2022,69869.0,historical,home_avg,Philadelphia,,
2023,69878.0,historical,home_avg,Philadelphia,,
2024,69879.0,historical,home_avg,Philadelphia,,
2025,70064.20983121247,forecast,home_avg,Philadelphia,69637.66365193743,70490.75601048752
2026,70132.68055116686,forecast,home_avg,Philadelphia,69529.45315945767,70735.90794287606
2027,70201.15127112124,forecast,home_avg,Philadelphia,69462.35161684248,70939.9509254
2028,70269.62199107563,forecast,home_avg,Philadelphia,69416.52963252555,71122.71434962572
2029,70338.09271103001,forecast,home_avg,Philadelphia,69384.3064586282,71291.87896343182
2006,71154.0,historical,road_avg,Philadelphia,,
2007,74201.0,historical,road_avg,Philadelphia,,
2008,69836.0,historical,road_avg,Philadelphia,,
2009,73967.0,historical,road_avg,Philadelphia,,
2010,71596.0,historical,road_avg,Philadelphia,,
2011,72002.0,historical,road_avg,Philadelphia,,
2012,71717.0,historical,road_avg,Philadelphia,,
2013,73500.0,historical,road_avg,Philadelphia,,
2014,74616.0,historical,road_avg,Philadelphia,,
2015,74845.0,historical,road_avg,Philadelphia,,
2016,71066.0,historical,road_avg,Philadelphia,,
2017,70046.0,historical,road_avg,Philadelphia,,
2018,74021.0,historical,road_avg,Philadelphia,,
2019,72657.0,historical,road_avg,Philadelphia,,
2020,9194.0,historical,road_avg,Philadelphia,,
2021,68805.0,historical,road_avg,Philadelphia,,
2022,68954.0,historical,road_avg,Philadelphia,,
2023,73857.0,historical,road_avg,Philadelphia,,
2024,73471.0,historical,road_avg,Philadelphia,,
2025,71866.20984705651,forecast,road_avg,Philadelphia,67508.76039565941,76223.65929845361
2026,71805.90947490952,forecast,road_avg,Philadelphia,65643.54536338853,77968.27358643051
2027,71745.60910276255,forecast,road_avg,Philadelphia,64198.285261529636,79292.93294399547
2028,71685.30873061556,forecast,road_avg,Philadelphia,62970.40982782136,80400.20763340978
2029,71625.00835846859,forecast,road_avg,Philadelphia,61881.4551766255,81368.56154031168
2006,70125.0,historical,overall_avg,Philadelphia,,
2007,70984.0,historical,overall_avg,Philadelphia,,
2008,69490.0,historical,overall_avg,Philadelphia,,
2009,71555.0,historical,overall_avg,Philadelphia,,
2010,70370.0,historical,overall_avg,Philadelphia,,
2011,70573.0,historical,overall_avg,Philadelphia,,
2012,70430.0,historical,overall_avg,Philadelphia,,
2013,71322.0,historical,overall_avg,Philadelphia,,
2014,72106.0,historical,overall_avg,Philadelphia,,
2015,72164.0,historical,overall_avg,Philadelphia,,
2016,70331.0,historical,overall_avg,Philadelphia,,
2017,69821.0,historical,overall_avg,Philadelphia,,
2018,71858.0,historical,overall_avg,Philadelphia,,
2019,71220.0,historical,overall_avg,Philadelphia,,
2020,0.0,historical,overall_avg,Philadelphia,,
2021,69271.0,historical,overall_avg,Philadelphia,,
2022,69439.0,historical,overall_avg,Philadelphia,,
2023,71984.0,historical,overall_avg,Philadelphia,,
2024,71675.0,historical,overall_avg,Philadelphia,,
2025,70984.38642536006,forecast,overall_avg,Philadelphia,68856.62352443884,73112.14932628129
2026,70979.25891216908,forecast,overall_avg,Philadelphia,67970.14776017197,73988.3700641662
2027,70974.13139897809,forecast,overall_avg,Philadelphia,67288.73794812239,74659.52484983379
2028,70969.00388578711,forecast,overall_avg,Philadelphia,66713.47808394466,75224.52968762956
2029,70963.87637259613,forecast,overall_avg,Philadelphia,66206.05388613413,75721.69885905813
2006,69143.0,historical,home_avg,Tennessee,,
2007,69143.0,historical,home_avg,Tennessee,,
2008,69143.0,historical,home_avg,Tennessee,,
2009,69143.0,historical,home_avg,Tennessee,,
2010,69143.0,historical,home_avg,Tennessee,,
2011,69143.0,historical,home_avg,Tennessee,,
2012,69143.0,historical,home_avg,Tennessee,,
2013,69143.0,historical,home_avg,Tennessee,,
2014,69143.0,historical,home_avg,Tennessee,,
2015,62304.0,historical,home_avg,Tennessee,,
2016,64659.0,historical,home_avg,Tennessee,,
2017,65651.0,historical,home_avg,Tennessee,,
2018,64520.0,historical,home_avg,Tennessee,,
2019,64509.0,historical,home_avg,Tennessee,,
2020,12075.0,historical,home_avg,Tennessee,,
2021,68566.0,historical,home_avg,Tennessee,,
2022,68616.0,historical,home_avg,Tennessee,,
2023,64520.0,historical,home_avg,Tennessee,,
2024,64819.0,historical,home_avg,Tennessee,,
2025,64224.13483937508,forecast,home_avg,Tennessee,60567.7866613112,67880.48301743896
2026,63893.97581968899,forecast,home_avg,Tennessee,58723.11863751289,69064.83300186509
2027,63563.816800002896,forecast,home_avg,Tennessee,57230.83598543435,69896.79761457143
2028,63233.657780316804,forecast,home_avg,Tennessee,55920.96142418903,70546.35413644457
2029,62903.49876063071,forecast,home_avg,Tennessee,54727.65568507236,71079.34183618907
2006,69029.0,historical,road_avg,Tennessee,,
2007,69796.0,historical,road_avg,Tennessee,,
2008,66864.0,historical,road_avg,Tennessee,,
2009,66618.0,historical,road_avg,Tennessee,,
2010,70265.0,historical,road_avg,Tennessee,,
2011,65569.0,historical,road_avg,Tennessee,,
2012,64694.0,historical,road_avg,Tennessee,,
2013,63082.0,historical,road_avg,Tennessee,,
2014,67965.0,historical,road_avg,Tennessee,,
2015,68365.0,historical,road_avg,Tennessee,,
2016,62404.0,historical,road_avg,Tennessee,,
2017,64363.0,historical,road_avg,Tennessee,,
2018,70233.0,historical,road_avg,Tennessee,,
2019,66427.0,historical,road_avg,Tennessee,,
2020,12644.0,historical,road_avg,Tennessee,,
2021,65022.0,historical,road_avg,Tennessee,,
2022,68657.0,historical,road_avg,Tennessee,,
2023,67085.0,historical,road_avg,Tennessee,,
2024,65573.0,historical,road_avg,Tennessee,,
2025,65795.98516015144,forecast,road_avg,Tennessee,61078.273231577135,70513.69708872575
2026,65649.3170276334,forecast,road_avg,Tennessee,58977.464834874285,72321.1692203925
2027,65502.64889511537,forecast,road_avg,Tennessee,57331.332139350925,73673.96565087982
2028,65355.98076259735,forecast,road_avg,Tennessee,55920.55690544874,74791.40461974595
2029,65209.312630079316,forecast,road_avg,Tennessee,54660.188059525535,75758.4372006331
2006,69094.0,historical,overall_avg,Tennessee,,
2007,69447.0,historical,overall_avg,Tennessee,,
2008,68003.0,historical,overall_avg,Tennessee,,
2009,67880.0,historical,overall_avg,Tennessee,,
2010,69704.0,historical,overall_avg,Tennessee,,
2011,67356.0,historical,overall_avg,Tennessee,,
2012,66918.0,historical,overall_avg,Tennessee,,
2013,66112.0,historical,overall_avg,Tennessee,,
2014,68554.0,historical,overall_avg,Tennessee,,
2015,65334.0,historical,overall_avg,Tennessee,,
2016,63531.0,historical,overall_avg,Tennessee,,
2017,65007.0,historical,overall_avg,Tennessee,,
2018,67186.0,historical,overall_avg,Tennessee,,
2019,65468.0,historical,overall_avg,Tennessee,,
2020,12282.0,historical,overall_avg,Tennessee,,
2021,66898.0,historical,overall_avg,Tennessee,,
2022,68638.0,historical,overall_avg,Tennessee,,
2023,65727.0,historical,overall_avg,Tennessee,,
2024,65218.0,historical,overall_avg,Tennessee,,
2025,65506.09640180296,forecast,overall_avg,Tennessee,62572.15401971201,68440.03878389392
2026,65295.74277576976,forecast,overall_avg,Tennessee,61146.52166779551,69444.96388374401
2027,65085.38914973656,forecast,overall_avg,Tennessee,60003.65187747537,70167.12642199776
2028,64875.03552370336,forecast,overall_avg,Tennessee,59007.15075952145,70742.92028788527
2029,64664.681897670154,forecast,overall_avg,Tennessee,58104.18728924712,71225.17650609318
2006,68808.0,historical,home_avg,New Orleans,,
2007,70004.0,historical,home_avg,New Orleans,,
2008,70092.0,historical,home_avg,New Orleans,,
2009,70105.0,historical,home_avg,New Orleans,,
2010,70038.0,historical,home_avg,New Orleans,,
2011,73042.0,historical,home_avg,New Orleans,,
2012,72888.0,historical,home_avg,New Orleans,,
2013,72901.0,historical,home_avg,New Orleans,,
2014,73112.0,historical,home_avg,New Orleans,,
2015,73038.0,historical,home_avg,New Orleans,,
2016,73109.0,historical,home_avg,New Orleans,,
2017,73139.0,historical,home_avg,New Orleans,,
2018,73051.0,historical,home_avg,New Orleans,,
2019,73082.0,historical,home_avg,New Orleans,,
2020,3621.0,historical,home_avg,New Orleans,,
2021,64929.0,historical,home_avg,New Orleans,,
2022,68987.0,historical,home_avg,New Orleans,,
2023,70020.0,historical,home_avg,New Orleans,,
2024,70012.0,historical,home_avg,New Orleans,,
2025,69523.61504195414,forecast,home_avg,New Orleans,65222.62349912611,73824.60658478216
2026,69391.16445715979,forecast,home_avg,New Orleans,63308.643885640406,75473.68502867917
2027,69258.71387236544,forecast,home_avg,New Orleans,61809.177997263236,76708.24974746763
2028,69126.26328757108,forecast,home_avg,New Orleans,60524.280201915026,77728.24637322714
2029,68993.81270277673,forecast,home_avg,New Orleans,59376.50324236156,78611.1221631919
2006,69696.0,historical,road_avg,New Orleans,,
2007,68021.0,historical,road_avg,New Orleans,,
2008,69007.0,historical,road_avg,New Orleans,,
2009,69396.0,historical,road_avg,New Orleans,,
2010,69103.0,historical,road_avg,New Orleans,,
2011,65199.0,historical,road_avg,New Orleans,,
2012,72573.0,historical,road_avg,New Orleans,,
2013,67502.0,historical,road_avg,New Orleans,,
2014,68635.0,historical,road_avg,New Orleans,,
2015,68840.0,historical,road_avg,New Orleans,,
2016,69520.0,historical,road_avg,New Orleans,,
2017,70116.0,historical,road_avg,New Orleans,,
2018,70411.0,historical,road_avg,New Orleans,,
2019,66549.0,historical,road_avg,New Orleans,,
2020,8651.0,historical,road_avg,New Orleans,,
2021,66408.0,historical,road_avg,New Orleans,,
2022,68452.0,historical,road_avg,New Orleans,,
2023,69823.0,historical,road_avg,New Orleans,,
2024,74631.0,historical,road_avg,New Orleans,,
2025,69539.53770540952,forecast,road_avg,New Orleans,65447.09507996396,73631.98033085508
2026,69569.8446993329,forecast,road_avg,New Orleans,63782.256835194035,75357.43256347175
2027,69600.1516932563,forecast,road_avg,New Orleans,62511.83313892403,76688.47024758857
2028,69630.4586871797,forecast,road_avg,New Orleans,61445.573436288585,77815.3439380708
2029,69660.76568110308,forecast,road_avg,New Orleans,60509.7857765891,78811.74558561706
2006,69252.0,historical,overall_avg,New Orleans,,
2007,69078.0,historical,overall_avg,New Orleans,,
2008,69514.0,historical,overall_avg,New Orleans,,
2009,69750.0,historical,overall_avg,New Orleans,,
2010,69570.0,historical,overall_avg,New Orleans,,
2011,69120.0,historical,overall_avg,New Orleans,,
2012,72731.0,historical,overall_avg,New Orleans,,
2013,70201.0,historical,overall_avg,New Orleans,,
2014,70874.0,historical,overall_avg,New Orleans,,
2015,70939.0,historical,overall_avg,New Orleans,,
2016,71314.0,historical,overall_avg,New Orleans,,
2017,71627.0,historical,overall_avg,New Orleans,,
2018,71731.0,historical,overall_avg,New Orleans,,
2019,69816.0,historical,overall_avg,New Orleans,,
2020,5297.0,historical,overall_avg,New Orleans,,
2021,65712.0,historical,overall_avg,New Orleans,,
2022,68735.0,historical,overall_avg,New Orleans,,
2023,69916.0,historical,overall_avg,New Orleans,,
2024,72185.0,historical,overall_avg,New Orleans,,
2025,71138.97107376413,forecast,overall_avg,New Orleans,67779.8260808816,74498.11606664666
2026,71241.72790542338,forecast,overall_avg,New Orleans,66491.17949851124,75992.27631233553
2027,71344.48473708263,forecast,overall_avg,New Orleans,65526.27493941949,77162.69453474577
2028,71447.24156874188,forecast,overall_avg,New Orleans,64728.95158297682,78165.53155450695
2029,71549.99840040113,forecast,overall_avg,New Orleans,64038.72185003774,79061.27495076452
2006,68756.0,historical,home_avg,New England,,
