season,attendance,type,metric,team,lower,upper
2029,69803.56416375429,forecast,road_avg,NY Giants,61179.76162911476,78427.36669839382
2006,74800.0,historical,overall_avg,NY Giants,,
2007,74421.0,historical,overall_avg,NY Giants,,
2008,73697.0,historical,overall_avg,NY Giants,,
2009,76495.0,historical,overall_avg,NY Giants,,
2010,74443.0,historical,overall_avg,NY Giants,,
2011,77009.0,historical,overall_avg,NY Giants,,
2012,76870.0,historical,overall_avg,NY Giants,,
2013,75595.0,historical,overall_avg,NY Giants,,
2014,74710.0,historical,overall_avg,NY Giants,,
2015,74885.0,historical,overall_avg,NY Giants,,
2016,76082.0,historical,overall_avg,NY Giants,,
2017,73939.0,historical,overall_avg,NY Giants,,
2018,73945.0,historical,overall_avg,NY Giants,,
2019,71444.0,historical,overall_avg,NY Giants,,
2020,9588.0,historical,overall_avg,NY Giants,,
2021,71052.0,historical,overall_avg,NY Giants,,
2022,73174.0,historical,overall_avg,NY Giants,,
2023,74256.0,historical,overall_avg,NY Giants,,
2024,74920.0,historical,overall_avg,NY Giants,,
2025,74581.58843527208,forecast,overall_avg,NY Giants,71753.77111568322,77409.40575486093
2026,74585.22573039177,forecast,overall_avg,NY Giants,70586.08812511568,78584.36333566786
2027,74588.86302551145,forecast,overall_avg,NY Giants,69690.93975346032,79486.78629756259
2028,74592.50032063114,forecast,overall_avg,NY Giants,68936.86568145343,80248.13495980884
2029,74596.13761575082,forecast,overall_avg,NY Giants,68272.9458611989,80919.32937030274
2006,77909.0,historical,home_avg,Kansas City,,
2007,76777.0,historical,home_avg,Kansas City,,
2008,74077.0,historical,home_avg,Kansas City,,
2009,67514.0,historical,home_avg,Kansas City,,
2010,67672.0,historical,home_avg,Kansas City,,
2011,72082.0,historical,home_avg,Kansas City,,
2012,68508.0,historical,home_avg,Kansas City,,
2013,75359.0,historical,home_avg,Kansas City,,
2014,74967.0,historical,home_avg,Kansas City,,
2015,74086.0,historical,home_avg,Kansas City,,
2016,73328.0,historical,home_avg,Kansas City,,
2017,74106.0,historical,home_avg,Kansas City,,
2018,75972.0,historical,home_avg,Kansas City,,
2019,73465.0,historical,home_avg,Kansas City,,
2020,13153.0,historical,home_avg,Kansas City,,
2021,73227.0,historical,home_avg,Kansas City,,
2022,73499.0,historical,home_avg,Kansas City,,
2023,70968.0,historical,home_avg,Kansas City,,
2024,73593.0,historical,home_avg,Kansas City,,
2025,72665.03867355417,forecast,home_avg,Kansas City,66834.23305356219,78495.84429354615
2026,72463.62106956779,forecast,home_avg,Kansas City,64217.61668221386,80709.62545692171
2027,72262.20346558142,forecast,home_avg,Kansas City,62162.95188269716,82361.45504846568
2028,72060.78586159504,forecast,home_avg,Kansas City,60399.17462161108,83722.397101579
2029,71859.36825760867,forecast,home_avg,Kansas City,58821.2905277188,84897.44598749855
2006,68276.0,historical,road_avg,Kansas City,,
2007,68320.0,historical,road_avg,Kansas City,,
2008,68700.0,historical,road_avg,Kansas City,,
2009,63677.0,historical,road_avg,Kansas City,,
2010,66050.0,historical,road_avg,Kansas City,,
2011,66318.0,historical,road_avg,Kansas City,,
2012,61496.0,historical,road_avg,Kansas City,,
2013,64391.0,historical,road_avg,Kansas City,,
2014,65938.0,historical,road_avg,Kansas City,,
2015,66072.0,historical,road_avg,Kansas City,,
2016,66073.0,historical,road_avg,Kansas City,,
2017,67664.0,historical,road_avg,Kansas City,,
2018,62449.0,historical,road_avg,Kansas City,,
2019,66006.0,historical,road_avg,Kansas City,,
2020,7464.0,historical,road_avg,Kansas City,,
2021,66737.0,historical,road_avg,Kansas City,,
2022,68333.0,historical,road_avg,Kansas City,,
2023,70854.0,historical,road_avg,Kansas City,,
2024,70292.0,historical,road_avg,Kansas City,,
2025,71022.58859737031,forecast,road_avg,Kansas City,66703.21871268319,75341.95848205744
2026,72058.77699733504,forecast,road_avg,Kansas City,65950.2655255046,78167.28846916548
2027,73094.96539729975,forecast,road_avg,Kansas City,65613.59730033873,80576.33349426076
2028,74131.15379726446,forecast,road_avg,Kansas City,65492.41402789022,82769.8935666387
2029,75167.34219722918,forecast,road_avg,Kansas City,65508.93751510335,84825.74687935502
2006,73781.0,historical,overall_avg,Kansas City,,
2007,73152.0,historical,overall_avg,Kansas City,,
2008,71389.0,historical,overall_avg,Kansas City,,
2009,65595.0,historical,overall_avg,Kansas City,,
2010,66861.0,historical,overall_avg,Kansas City,,
2011,69200.0,historical,overall_avg,Kansas City,,
2012,65002.0,historical,overall_avg,Kansas City,,
2013,69875.0,historical,overall_avg,Kansas City,,
2014,70453.0,historical,overall_avg,Kansas City,,
2015,69812.0,historical,overall_avg,Kansas City,,
2016,69700.0,historical,overall_avg,Kansas City,,
2017,70885.0,historical,overall_avg,Kansas City,,
